offense_type_id,offense_code,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,VIOLENT_CRIME
1,09C,Justifiable Homicide,Not a Crime,N,N,,Homicide Offenses,Y
2,26A,False Pretenses/Swindle/Confidence Game,Property,Y,Y,,Fraud Offenses,N
3,36B,Statutory Rape,Person,N,Y,,Sex Offenses,Y
4,11C,Sexual Assault With An Object,Person,N,Y,2,Sex Offenses,Y
5,290,Destruction/Damage/Vandalism of Property,Property,N,Y,11,Destruction/Damage/Vandalism of Property,Y
6,90F,"Family Offenses, Nonviolent",Person,N,N,,,N
7,23G,Theft of Motor Vehicle Parts or Accessories,Property,N,N,,Larceny/Theft Offenses,Y
8,370,Pornography/Obscene Material,Society,N,Y,,Pornography/Obscene Material,Y
9,39D,Sports Tampering,Society,N,Y,,Gambling Offenses,N
10,90D,Driving Under the Influence,Society,N,N,,,N
11,250,Counterfeiting/Forgery,Property,N,Y,,Counterfeiting/Forgery,N
12,26D,Welfare Fraud,Property,N,Y,,Fraud Offenses,N
13,23A,Pocket-picking,Property,N,N,,Larceny/Theft Offenses,Y
14,23F,Theft From Motor Vehicle,Property,Y,N,,Larceny/Theft Offenses,Y
15,40B,Assisting or Promoting Prostitution,Society,N,Y,,Prostitution Offenses,Y
16,35A,Drug/Narcotic Violations,Society,N,Y,,Drug/Narcotic Offenses,N
17,26E,Wire Fraud,Property,Y,Y,,Fraud Offenses,N
18,23B,Purse-snatching,Property,N,N,,Larceny/Theft Offenses,Y
19,90I,Runaway,Not a Crime,N,N,,,N
20,200,Arson,Property,N,Y,8,Arson,Y
21,240,Motor Vehicle Theft,Property,Y,Y,7,Motor Vehicle Theft,Y
22,90E,Drunkenness,Society,N,N,,,N
23,23C,Shoplifting,Property,N,N,,Larceny/Theft Offenses,Y
24,39B,Operating/Promoting/Assisting Gambling,Society,N,Y,,Gambling Offenses,N
25,90A,Bad Checks,Property,N,N,,,N
26,210,Extortion/Blackmail,Property,Y,Y,,Extortion/Blackmail,Y
27,13A,Aggravated Assault,Person,N,Y,4,Assault Offenses,Y
28,280,Stolen Property Offenses,Property,N,Y,,Stolen Property Offenses,Y
29,100,Kidnapping/Abduction,Person,N,Y,,Kidnapping/Abduction,Y
30,40A,Prostitution,Society,N,Y,,Prostitution Offenses,Y
31,39A,Betting/Wagering,Society,N,Y,,Gambling Offenses,N
32,09A,Murder and Nonnegligent Manslaughter,Person,N,Y,1,Homicide Offenses,Y
33,90H,Peeping Tom,Person,N,N,,,N
34,90J,Trespass of Real Property,Society,N,N,,,N
35,35B,Drug Equipment Violations,Society,N,Y,,Drug/Narcotic Offenses,N
36,11A,Rape,Person,N,Y,2,Sex Offenses,Y
37,270,Embezzlement,Property,Y,Y,,Embezzlement,N
38,09B,Negligent Manslaughter,Person,N,Y,,Homicide Offenses,Y
39,520,Weapon Law Violations,Society,N,Y,,Weapon Law Violations,Y
40,120,Robbery,Property,Y,Y,3,Robbery,Y
41,26B,Credit Card/Automated Teller Machine Fraud,Property,Y,Y,,Fraud Offenses,N
42,90B,Curfew/Loitering/Vagrancy Violations,Society,N,N,,,N
43,11B,Sodomy,Person,N,Y,2,Sex Offenses,Y
44,13C,Intimidation,Person,N,Y,10,Assault Offenses,Y
45,23H,All Other Larceny,Property,Y,N,,Larceny/Theft Offenses,Y
46,26C,Impersonation,Property,Y,Y,,Fraud Offenses,N
47,23D,Theft From Building,Property,Y,N,,Larceny/Theft Offenses,Y
48,90Z,All Other Offenses,Society,N,N,,,N
49,220,Burglary/Breaking & Entering,Property,Y,Y,5,Burglary/Breaking & Entering,Y
50,23E,Theft From Coin-Operated Machine or Device,Property,N,N,,Larceny/Theft Offenses,N
51,13B,Simple Assault,Person,N,Y,9,Assault Offenses,Y
52,90G,Liquor Law Violations,Society,N,N,,,N
53,90C,Disorderly Conduct,Society,N,N,,,N
54,39C,Gambling Equipment Violation,Society,N,Y,,Gambling Offenses,N
55,36A,Incest,Person,N,Y,,Sex Offenses,Y
56,11D,Fondling,Person,N,Y,2,Sex Offenses,Y
57,510,Bribery,Property,Y,Y,,Bribery,N
58,23*,Not Specified,Property,N,Y,6,Larceny/Theft Offenses,Y
59,64A,"Human Trafficking, Commercial Sex Acts",Person,N,Y,,Human Trafficking,Y
60,64B,"Human Trafficking, Involuntary Servitude",Person,N,Y,,Human Trafficking,Y
61,40C,Purchasing Prostitution,Society,N,Y,,Prostitution Offenses,N
62,720,Animal Cruelty,Society,N,N,,Animal Cruelty,Y
63,26F,Identity Theft,Property,N,Y,,Fraud Offenses,N
64,26G,Hacking/Computer Invasion,Property,N,Y,,Fraud Offenses,N
